ApplicationID,InterviewTypeID
102,1
103,1
106,1
108,2
115,2
130,2
14,1
142,2
143,2
144,2
146,2
147,1
154,1
167,1
169,1
172,1
184,1
19,2
205,2
206,2
214,2
216,1
217,1
218,1
24,1
242,2
244,1
253,2
259,2
262,2
265,2
270,2
284,2
287,1
306,1
310,1
312,2
313,1
314,2
316,2
317,1
322,2
33,2
331,1
332,2
335,2
338,1
339,2
340,1
350,2
353,1
372,2
375,2
384,2
388,2
39,1
396,1
402,2
403,2
405,1
409,1
410,1
420,1
426,2
439,1
443,2
449,2
458,1
462,2
478,1
49,2
50,2
500,2
501,2
502,1
509,2
511,1
512,2
518,1
521,2
523,2
526,2
533,2
543,1
545,1
546,1
551,1
553,1
567,2
57,2
574,2
581,1
583,1
587,2
59,1
592,2
599,2
603,1
613,2
620,2
628,2
630,2
633,2
643,2
65,1
654,1
657,2
673,1
675,1
676,2
681,1
689,2
700,1
703,1
706,1
709,2
714,1
715,2
726,1
73,2
731,2
735,1
736,2
737,1
74,1
745,1
751,1
767,1
769,2
771,2
776,2
777,1
787,1
792,2
80,2
804,1
809,1
81,2
811,2
828,1
83,1
830,1
832,2
835,2
845,2
847,1
851,2
86,1
865,2
868,1
87,2
884,2
886,2
890,2
894,2
90,1
906,2
910,2
912,1
914,1
92,1
922,1
923,2
932,2
934,1
939,2
941,1
951,1
957,2
979,2
999,2
