origin,destination,year,students
Belarus,Portugal,2017,16
Belarus,Portugal,2018,31
Belarus,Portugal,2019,22
Belarus,Portugal,2020,22
Belarus,Portugal,2021,24
Hungary,Luxembourg,2017,19
Hungary,Luxembourg,2018,14
Hungary,Luxembourg,2019,13
Hungary,Luxembourg,2020,12
Hungary,Luxembourg,2021,14
Croatia,Poland,2017,17
Croatia,Poland,2018,25
Croatia,Poland,2019,25
Croatia,Poland,2020,33
Croatia,Poland,2021,36
Belarus,Georgia,2017,3
Belarus,Georgia,2018,2
Belarus,Georgia,2019,2
Belarus,Georgia,2020,5
Belarus,Georgia,2021,2
France,Ecuador,2018,30
France,Ecuador,2019,18
France,Ecuador,2020,22
Greece,Kazakhstan,2020,1
Andorra,Denmark,2020,1
Andorra,Denmark,2021,2
Holy See,United States of America,2018,3.80551
Hungary,Colombia,2017,1
Hungary,Colombia,2018,1
Hungary,Colombia,2019,5
Hungary,Colombia,2020,1
Hungary,Iran,2019,1
Hungary,Iran,2020,1
Finland,Kenya,2019,2
Austria,North Macedonia,2017,1
Austria,North Macedonia,2018,4
Austria,North Macedonia,2019,1
Austria,North Macedonia,2020,6
Austria,North Macedonia,2021,10
Austria,Malaysia,2017,4
Austria,Malaysia,2019,6
Austria,Malaysia,2020,4
Austria,Malaysia,2021,3
Belarus,South Africa,2017,1
Belarus,South Africa,2018,1
Belarus,South Africa,2019,4
Belarus,South Africa,2020,3
Belarus,South Africa,2021,4
Austria,Ireland,2017,51
Austria,Ireland,2018,50
Austria,Ireland,2019,56
Austria,Ireland,2020,66
Austria,Ireland,2021,68
Croatia,Cyprus,2017,5
Croatia,Cyprus,2018,2
Croatia,Cyprus,2019,1
Croatia,Cyprus,2020,1
Croatia,Cyprus,2021,5
Finland,Australia,2017,118
Finland,Australia,2018,127
Finland,Australia,2019,173
Finland,Australia,2020,159
Finland,Australia,2021,135
Bulgaria,Japan,2017,86
Bulgaria,Japan,2018,78
Bulgaria,Japan,2019,86
Bulgaria,Japan,2020,77
Bulgaria,Japan,2021,75
Bulgaria,Andorra,2019,1
Bulgaria,Andorra,2021,1
Croatia,Jordan,2017,1
Croatia,Jordan,2018,1
Croatia,Jordan,2019,1
Croatia,Jordan,2020,1
Croatia,Jordan,2021,1
Denmark,Serbia,2017,6
Denmark,Serbia,2018,6
Denmark,Serbia,2019,4
Denmark,Serbia,2020,4
Denmark,Serbia,2021,4
Croatia,Austria,2017,1065.08333
Croatia,Austria,2018,1081.18333
Croatia,Austria,2019,1025.78519
Croatia,Austria,2020,1046.3001
Croatia,Austria,2021,1103.77068
Belgium,United States of America,2017,914.00517
Belgium,United States of America,2018,900.77372
Belgium,United States of America,2020,909.49132
Belgium,United States of America,2021,745.21289
Bulgaria,Russia,2017,74
Bulgaria,Russia,2018,61
Bulgaria,Russia,2019,63
Bulgaria,Russia,2020,344
Bulgaria,Russia,2021,351
Bulgaria,India,2018,4
Bulgaria,India,2019,4
Bulgaria,India,2020,2
Bulgaria,India,2021,1
Czechia,United Kingdom,2017,2111
Czechia,United Kingdom,2018,2483
Czechia,United Kingdom,2019,2755
Czechia,United Kingdom,2020,2904
Czechia,United Kingdom,2021,3031
Belarus,Kazakhstan,2017,13
Belarus,Kazakhstan,2018,16
Belarus,Kazakhstan,2019,20
Belarus,Kazakhstan,2020,55
Germany,Trinidad and Tobago,2019,1
Germany,Trinidad and Tobago,2021,1
Estonia,Italy,2017,53
Estonia,Italy,2018,54
Estonia,Italy,2019,26
Estonia,Italy,2020,22
Estonia,Italy,2021,71
Austria,Indonesia,2017,1
Germany,Costa Rica,2017,17
Germany,Costa Rica,2018,15
Germany,Costa Rica,2019,13
Germany,Costa Rica,2020,19
Estonia,Romania,2017,1
Finland,Norway,2017,128
Finland,Norway,2018,208
Finland,Norway,2019,172
Finland,Norway,2020,231
Finland,Norway,2021,217
Belarus,Belgium,2017,40
Belarus,Belgium,2018,35
Belarus,Belgium,2019,40
Belarus,Belgium,2020,47
Belarus,Belgium,2021,48
Belgium,Bahrain,2018,1
Belgium,Bahrain,2019,1
Belgium,Bahrain,2020,1
Belgium,Bahrain,2021,1
Hungary,Hong Kong,2017,8
Hungary,Hong Kong,2018,6.001
Hungary,Hong Kong,2019,7
Hungary,Hong Kong,2020,3
Hungary,Hong Kong,2021,1
Austria,Cyprus,2017,29
Austria,Cyprus,2018,44
Austria,Cyprus,2019,37
Austria,Cyprus,2020,29
Austria,Cyprus,2021,24
Croatia,Azerbaijan,2017,1
Croatia,Azerbaijan,2018,1
Austria,Brazil,2017,22
Austria,Brazil,2018,21
Austria,Brazil,2019,23
Austria,Brazil,2020,25
Austria,Brazil,2021,19
France,Czechia,2017,145
France,Czechia,2018,152
France,Czechia,2019,171
France,Czechia,2020,176
France,Czechia,2021,207
Croatia,Netherlands,2017,321
Croatia,Netherlands,2018,344
Croatia,Netherlands,2019,390
France,Lao People's Democratic Republic,2017,1
France,Lao People's Democratic Republic,2019,1
France,Lao People's Democratic Republic,2020,2
Albania,Poland,2017,58
Albania,Poland,2018,56
Albania,Poland,2019,64
Albania,Poland,2020,52
Albania,Poland,2021,59
France,Republic of Moldova,2017,1
France,Republic of Moldova,2018,1
France,Republic of Moldova,2019,1
France,Republic of Moldova,2020,1
France,Republic of Moldova,2021,1
Bosnia and Herzegovina,Saudi Arabia,2017,164
Bosnia and Herzegovina,Saudi Arabia,2018,155
