source,destination,time,students
"Nigeria","Afghanistan",2017,..
"Nigeria","Afghanistan",2018,..
"Nigeria","Afghanistan",2019,..
"Nigeria","Afghanistan",2020,..
"Nigeria","Afghanistan",2021,..
"Nigeria","Åland Islands",2017,..
"Nigeria","Åland Islands",2018,..
"Nigeria","Åland Islands",2019,..
"Nigeria","Åland Islands",2020,..
"Nigeria","Åland Islands",2021,..
"Nigeria","Albania",2017,..
"Nigeria","Albania",2018,..
"Nigeria","Albania",2019,..
"Nigeria","Albania",2020,..
"Nigeria","Albania",2021,..
"Nigeria","Algeria",2017,..
"Nigeria","Algeria",2018,..
"Nigeria","Algeria",2019,..
"Nigeria","Algeria",2020,..
"Nigeria","Algeria",2021,..
"Nigeria","American Samoa",2017,..
"Nigeria","American Samoa",2018,..
"Nigeria","American Samoa",2019,..
"Nigeria","American Samoa",2020,..
"Nigeria","American Samoa",2021,..
"Nigeria","Andorra",2017,..
"Nigeria","Andorra",2018,..
"Nigeria","Andorra",2019,..
"Nigeria","Andorra",2020,..
"Nigeria","Andorra",2021,..
"Nigeria","Angola",2017,..
"Nigeria","Angola",2018,..
"Nigeria","Angola",2019,..
"Nigeria","Angola",2020,..
"Nigeria","Angola",2021,..
"Nigeria","Anguilla",2017,..
"Nigeria","Anguilla",2018,..
"Nigeria","Anguilla",2019,..
"Nigeria","Anguilla",2020,..
"Nigeria","Anguilla",2021,..
"Nigeria","Antigua and Barbuda",2017,..
"Nigeria","Antigua and Barbuda",2018,..
"Nigeria","Antigua and Barbuda",2019,..
"Nigeria","Antigua and Barbuda",2020,..
"Nigeria","Antigua and Barbuda",2021,..
"Nigeria","Argentina",2017,10
"Nigeria","Argentina",2018,15
"Nigeria","Argentina",2019,15
"Nigeria","Argentina",2020,8
"Nigeria","Argentina",2021,18
"Nigeria","Armenia",2017,..
"Nigeria","Armenia",2018,..
"Nigeria","Armenia",2019,..
"Nigeria","Armenia",2020,..
"Nigeria","Armenia",2021,3
"Nigeria","Aruba",2017,..
"Nigeria","Aruba",2018,..
"Nigeria","Aruba",2019,..
"Nigeria","Aruba",2020,..
"Nigeria","Aruba",2021,..
"Nigeria","Australia",2017,1881
"Nigeria","Australia",2018,2017
"Nigeria","Australia",2019,2040
"Nigeria","Australia",2020,1828
"Nigeria","Australia",2021,1750
"Nigeria","Austria",2017,94.91667
"Nigeria","Austria",2018,88.41667
"Nigeria","Austria",2019,101.91667
"Nigeria","Austria",2020,104.41667
"Nigeria","Austria",2021,119.25
"Nigeria","Azerbaijan",2017,53
"Nigeria","Azerbaijan",2018,42
"Nigeria","Azerbaijan",2019,59
"Nigeria","Azerbaijan",2020,84
"Nigeria","Azerbaijan",2021,99
"Nigeria","Bahamas",2017,..
"Nigeria","Bahamas",2018,..
"Nigeria","Bahamas",2019,..
"Nigeria","Bahamas",2020,..
"Nigeria","Bahamas",2021,..
"Nigeria","Bahrain",2017,3
"Nigeria","Bahrain",2018,2
"Nigeria","Bahrain",2019,2
"Nigeria","Bahrain",2020,1
"Nigeria","Bahrain",2021,2
"Nigeria","Bangladesh",2017,..
"Nigeria","Bangladesh",2018,..
"Nigeria","Bangladesh",2019,..
"Nigeria","Bangladesh",2020,..
"Nigeria","Bangladesh",2021,..
"Nigeria","Barbados",2017,..
"Nigeria","Barbados",2018,..
"Nigeria","Barbados",2019,..
"Nigeria","Barbados",2020,..
"Nigeria","Barbados",2021,..
"Nigeria","Belarus",2017,549
"Nigeria","Belarus",2018,472
"Nigeria","Belarus",2019,387
"Nigeria","Belarus",2020,326
"Nigeria","Belarus",2021,264
"Nigeria","Belgium",2017,109
"Nigeria","Belgium",2018,81
"Nigeria","Belgium",2019,130
"Nigeria","Belgium",2020,156
"Nigeria","Belgium",2021,185
"Nigeria","Belize",2017,..
"Nigeria","Belize",2018,..
"Nigeria","Belize",2019,..
"Nigeria","Belize",2020,..
"Nigeria","Belize",2021,..
